1	ADJECTIVE	1796323	ADJECTIVE	Direct
100	ADJECTIVE	975187	ADJECTIVE	Direct
10001	NOUN	532338	NOUN	Direct
10002	NOUN	576770	NOUN	Direct
10003	NOUN	580235	NOUN	Direct
10006	VERB	1848441	VERB	Direct
10008	NOUN	12171668	NOUN	Direct
10009	NOUN	7345402	NOUN	Direct
1001	NOUN	11283600	NOUN	Direct
10012	NOUN	11352914	NOUN	Direct
10016	NOUN	10008464	NOUN	Direct
1002	NOUN	886223	NOUN	Direct
10022	NOUN	6992708	NOUN	Direct
10024	NOUN	9935937	NOUN	Direct
10025	NOUN	4012531	NOUN	Direct
10026	ADJECTIVE	2196478	ADJECTIVE	Direct
10027	NOUN	7042854	NOUN	Direct
10030	ADJECTIVE	170216	ADJECTIVE	Direct
10031	NOUN	10116452	NOUN	Direct
10032	NOUN	10281859	NOUN	Direct
10033	ADJECTIVE	1433501	ADJECTIVE	Direct
10035	NOUN	6043371	NOUN	Direct
10039	NOUN	7008687	NOUN	Direct
10041	NOUN	3609271	NOUN	Direct
10042	NOUN	9784133	NOUN	Direct
10043	NOUN	11284676	NOUN	Direct
10044	NOUN	4856651	NOUN	Direct
10045	NOUN	14283606	NOUN	Direct
10046	NOUN	6227801	NOUN	Direct
10047	ADJECTIVE	670237	ADJECTIVE	Direct
10048	ADJECTIVE	1883440	ADJECTIVE	Direct
10049	NOUN	13673980	NOUN	Direct
1005	NOUN	4248585	NOUN	Direct
10050	NOUN	13294859	NOUN	Direct
10052	NOUN	6237956	NOUN	Direct
10054	NOUN	6341565	NOUN	Direct
10055	NOUN	15024155	NOUN	Direct
10057	ADJECTIVE	1128800	ADJECTIVE	Direct
10060	NOUN	7262773	NOUN	Direct
10062	NOUN	6380201	NOUN	Direct
10063	ADJECTIVE	2788603	ADJECTIVE	Direct
10064	ADJECTIVE	2914756	ADJECTIVE	Direct
10065	NOUN	9990473	NOUN	Direct
10067	NOUN	1120914	NOUN	Direct
10068	NOUN	6092944	NOUN	Direct
10069	ADJECTIVE	493277	ADJECTIVE	Direct
10071	NOUN	6653485	NOUN	Direct
10072	NOUN	10358254	NOUN	Direct
10073	NOUN	4225546	NOUN	Direct
